ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,Q1.弊社ブースにお立ち寄り頂いた目的をお選びください（複数選択可）,Q2.導入を予定されている時期をお選びください,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［維持管理のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入までのスピード］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入による業務効率化］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［他システムとの連携］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［アフターフォロー］,Q4.弊社からご案内する希望の情報をお選びください（複数選択可）,Q5.その他、ご意見・ご要望があれば、ご記入ください
00000017,0000000582_00000017_1.jpg,0000000582_00000017_2.jpg,2026-06-15 11:15:08,製品Aの導入を検討、製品Bの導入を検討,検討中だが時期未定,あまり重要としていない,非常に重要視している,重要視している,重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000018,0000000582_00000018_1.jpg,,2026-06-15 11:20:15,情報収集,導入予定なし,重要視している,重要視している,あまり重要としていない,非常に重要視している,重要視している,非常に重要視している,案内を希望しない,小規模拠点向けのプランがあるか知りたいです。
00000019,0000000582_00000019_1.jpg,,2026-06-15 11:21:40,製品Aの導入を検討、製品Bの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,重要視している,あまり重要としていない,重要視している,確認・比較はしている,あまり重要としていない,お見積り,海外拠点への展開実績はありますか。
00000020,0000000582_00000020_1.jpg,0000000582_00000020_2.jpg,2026-06-15 11:24:37,製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案、デモ・テスト導入,会場が混んでいてゆっくり聞けなかったので、改めて訪問説明を希望します。
00000021,0000000582_00000021_1.jpg,0000000582_00000021_2.jpg,2026-06-15 11:26:37,製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案,予算取りの参考にしたいので概算見積りをお願いします。
00000022,0000000582_00000022_1.jpg,0000000582_00000022_2.jpg,2026-06-15 11:27:53,製品Aの導入を検討,直ぐにでも,確認・比較はしている,非常に重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,予算取りの参考にしたいので概算見積りをお願いします。
00000023,0000000582_00000023_1.jpg,,2026-06-15 11:38:50,製品Bの導入を検討、製品Cの導入を検討,1年以内,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,製品Aのデモが印象的でした。価格表を送ってもらえると助かります。
00000024,0000000582_00000024_1.jpg,0000000582_00000024_2.jpg,2026-06-15 11:46:23,製品Cの導入を検討,1年以内,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,
00000025,0000000582_00000025_1.jpg,0000000582_00000025_2.jpg,2026-06-15 11:56:19,製品Bの導入を検討、情報収集,1年以内,非常に重要視している,あまり重要としていない,確認・比較はしている,重要視している,非常に重要視している,重要視している,デモ・テスト導入,
00000026,0000000582_00000026_1.jpg,0000000582_00000026_2.jpg,2026-06-15 11:59:21,製品Bの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,カタログだけでは分からない運用面の話が聞けて良かったです。
00000027,0000000582_00000027_1.jpg,,2026-06-15 12:01:05,情報収集,導入予定なし,重要視している,重要視している,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,案内を希望しない,トライアル導入の条件を確認したいです。
00000028,0000000582_00000028_1.jpg,0000000582_00000028_2.jpg,2026-06-15 12:03:37,製品Bの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,確認・比較はしている,確認・比較はしている,重要視している,確認・比較はしている,あまり重要としていない,お見積り,
00000029,0000000582_00000029_1.jpg,0000000582_00000029_2.jpg,2026-06-15 12:04:08,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,重要視している,確認・比較はしている,重要視している,重要視している,あまり重要としていない,重要視している,デモ・テスト導入,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000030,0000000582_00000030_1.jpg,,2026-06-15 12:07:20,情報収集,導入予定なし,確認・比較はしている,重要視している,あまり重要としていない,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000031,0000000582_00000031_1.jpg,0000000582_00000031_2.jpg,2026-06-15 12:08:12,製品Aの導入を検討、製品Bの導入を検討、情報収集,1年以内,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000032,0000000582_00000032_1.jpg,0000000582_00000032_2.jpg,2026-06-15 12:14:43,製品Aの導入を検討、製品Cの導入を検討、情報収集,3か月以内,非常に重要視している,あまり重要としていない,重要視している,重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000033,0000000582_00000033_1.jpg,0000000582_00000033_2.jpg,2026-06-15 12:15:15,製品Aの導入を検討、製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,重要視している,デモ・テスト導入,
00000034,0000000582_00000034_1.jpg,0000000582_00000034_2.jpg,2026-06-15 12:18:36,製品Aの導入を検討、情報収集,検討中だが時期未定,重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案,
00000035,,,2026-06-15 12:20:44,製品Aの導入を検討、製品Bの導入を検討、情報収集,1年以内,非常に重要視している,重要視している,あまり重要としていない,重要視している,非常に重要視している,あまり重要としていない,営業担当からの説明・ご提案,
00000036,0000000582_00000036_1.jpg,0000000582_00000036_2.jpg,2026-06-15 12:27:44,製品Aの導入を検討、情報収集,直ぐにでも,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案、お見積り,
00000037,0000000582_00000037_1.jpg,,2026-06-15 12:30:52,情報収集,導入予定なし,重要視している,確認・比較はしている,重要視している,重要視している,確認・比較はしている,重要視している,案内を希望しない,
00000038,0000000582_00000038_1.jpg,,2026-06-15 12:33:13,製品Aの導入を検討、製品Bの導入を検討,3か月以内,確認・比較はしている,重要視している,あまり重要としていない,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000039,0000000582_00000039_1.jpg,0000000582_00000039_2.jpg,2026-06-15 12:38:03,製品Cの導入を検討,1年以内,重要視している,重要視している,あまり重要としていない,重要視している,確認・比較はしている,確認・比較はしている,お見積り、その他,サポート窓口の受付時間を教えてください。
00000040,0000000582_00000040_1.jpg,0000000582_00000040_2.jpg,2026-06-15 12:39:31,製品Aの導入を検討、情報収集,3か月以内,重要視している,重要視している,確認・比較はしている,重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案,
00000041,0000000582_00000041_1.jpg,,2026-06-15 12:43:00,情報収集,導入予定なし,非常に重要視している,あまり重要としていない,重要視している,非常に重要視している,重要視している,あまり重要としていない,案内を希望しない,カタログだけでは分からない運用面の話が聞けて良かったです。
00000042,0000000582_00000042_1.jpg,,2026-06-15 12:52:53,製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,納期の目安を教えていただけると社内稟議を進めやすいです。
00000043,0000000582_00000043_1.jpg,0000000582_00000043_2.jpg,2026-06-15 12:55:04,製品Cの導入を検討、情報収集,1年以内,重要視している,重要視している,非常に重要視している,重要視している,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000044,0000000582_00000044_1.jpg,0000000582_00000044_2.jpg,2026-06-15 12:57:45,製品Bの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,あまり重要としていない,あまり重要としていない,お見積り,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000045,0000000582_00000045_1.jpg,0000000582_00000045_2.jpg,2026-06-15 13:00:03,製品Aの導入を検討,1年以内,非常に重要視している,重要視している,確認・比較はしている,重要視している,確認・比較はしている,非常に重要視している,案内を希望しない,
00000046,0000000582_00000046_1.jpg,,2026-06-15 13:03:32,製品Aの導入を検討,直ぐにでも,確認・比較はしている,重要視している,重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案,
00000047,0000000582_00000047_1.jpg,0000000582_00000047_2.jpg,2026-06-15 13:05:34,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,1年以内,重要視している,重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000048,0000000582_00000048_1.jpg,0000000582_00000048_2.jpg,2026-06-15 13:11:30,製品Bの導入を検討、製品Cの導入を検討、その他,3か月以内,重要視している,重要視している,重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,デモ・テスト導入,
00000049,0000000582_00000049_1.jpg,0000000582_00000049_2.jpg,2026-06-15 13:21:10,製品Cの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,重要視している,重要視している,重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案,
00000050,0000000582_00000050_1.jpg,0000000582_00000050_2.jpg,2026-06-15 13:31:30,製品Aの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,あまり重要としていない,重要視している,非常に重要視している,確認・比較はしている,重要視している,デモ・テスト導入,海外拠点への展開実績はありますか。
00000051,0000000582_00000051_1.jpg,0000000582_00000051_2.jpg,2026-06-15 13:35:53,製品Bの導入を検討、情報収集,検討中だが時期未定,あまり重要としていない,重要視している,重要視している,重要視している,確認・比較はしている,あまり重要としていない,デモ・テスト導入,他社製品と比較検討中です。優位性が分かる資料が欲しいです。
00000052,0000000582_00000052_1.jpg,0000000582_00000052_2.jpg,2026-06-15 13:41:02,製品Bの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000053,0000000582_00000053_1.jpg,,2026-06-15 13:56:23,製品Aの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000054,0000000582_00000054_1.jpg,0000000582_00000054_2.jpg,2026-06-15 14:00:57,情報収集,導入予定なし,重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,確認・比較はしている,案内を希望しない,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000055,0000000582_00000055_1.jpg,,2026-06-15 14:02:39,情報収集,導入予定なし,重要視している,重要視している,あまり重要としていない,あまり重要としていない,重要視している,確認・比較はしている,デモ・テスト導入、その他,カタログだけでは分からない運用面の話が聞けて良かったです。
00000056,,,2026-06-15 14:04:11,製品Bの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案、デモ・テスト導入,
00000057,0000000582_00000057_1.jpg,0000000582_00000057_2.jpg,2026-06-15 14:06:38,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,特になし
00000058,0000000582_00000058_1.jpg,0000000582_00000058_2.jpg,2026-06-15 14:14:39,製品Aの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入、その他,
00000059,0000000582_00000059_1.jpg,,2026-06-15 14:16:27,製品Aの導入を検討、情報収集,直ぐにでも,非常に重要視している,あまり重要としていない,重要視している,確認・比較はしている,非常に重要視している,非常に重要視している,お見積り,
00000060,0000000582_00000060_1.jpg,0000000582_00000060_2.jpg,2026-06-15 14:17:26,情報収集,導入予定なし,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,案内を希望しない,旧モデルからの移行パスがあるか気になっています。
00000061,0000000582_00000061_1.jpg,0000000582_00000061_2.jpg,2026-06-15 14:19:44,製品Cの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,あまり重要としていない,重要視している,重要視している,重要視している,営業担当からの説明・ご提案,
00000062,,,2026-06-15 14:19:49,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討、情報収集,3か月以内,重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000063,0000000582_00000063_1.jpg,0000000582_00000063_2.jpg,2026-06-15 14:24:26,製品Bの導入を検討、情報収集,3か月以内,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,あまり重要としていない,確認・比較はしている,デモ・テスト導入、その他,会場が混んでいてゆっくり聞けなかったので、改めて訪問説明を希望します。
00000064,0000000582_00000064_1.jpg,0000000582_00000064_2.jpg,2026-06-15 14:26:26,製品Bの導入を検討、情報収集,3か月以内,非常に重要視している,非常に重要視している,重要視している,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000065,0000000582_00000065_1.jpg,,2026-06-15 14:28:31,その他,導入予定なし,確認・比較はしている,あまり重要としていない,重要視している,重要視している,重要視している,重要視している,案内を希望しない,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000066,0000000582_00000066_1.jpg,,2026-06-15 14:32:18,製品Aの導入を検討,3か月以内,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,重要視している,デモ・テスト導入,予算取りの参考にしたいので概算見積りをお願いします。
00000067,0000000582_00000067_1.jpg,,2026-06-15 14:34:30,製品Cの導入を検討、情報収集,3か月以内,重要視している,確認・比較はしている,あまり重要としていない,重要視している,確認・比較はしている,確認・比較はしている,その他,
00000068,0000000582_00000068_1.jpg,0000000582_00000068_2.jpg,2026-06-15 14:40:26,情報収集,導入予定なし,非常に重要視している,重要視している,非常に重要視している,重要視している,確認・比較はしている,重要視している,案内を希望しない,海外拠点への展開実績はありますか。
00000069,0000000582_00000069_1.jpg,0000000582_00000069_2.jpg,2026-06-15 14:42:26,情報収集,導入予定なし,非常に重要視している,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,案内を希望しない,特になし
00000070,0000000582_00000070_1.jpg,0000000582_00000070_2.jpg,2026-06-15 14:43:44,製品Aの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,重要視している,お見積り,
00000071,0000000582_00000071_1.jpg,,2026-06-15 14:46:38,情報収集、その他,導入予定なし,重要視している,あまり重要としていない,確認・比較はしている,重要視している,あまり重要としていない,重要視している,案内を希望しない,
00000072,0000000582_00000072_1.jpg,,2026-06-15 14:52:54,製品Bの導入を検討、製品Cの導入を検討,1年以内,確認・比較はしている,あまり重要としていない,重要視している,重要視している,非常に重要視している,非常に重要視している,デモ・テスト導入,ブースの説明が分かりやすかったです。資料を社内で共有します。
00000073,0000000582_00000073_1.jpg,,2026-06-15 14:53:44,製品Bの導入を検討,検討中だが時期未定,確認・比較はしている,確認・比較はしている,重要視している,確認・比較はしている,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000074,0000000582_00000074_1.jpg,0000000582_00000074_2.jpg,2026-06-15 14:54:57,製品Cの導入を検討、情報収集,1年以内,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,確認・比較はしている,重要視している,お見積り、デモ・テスト導入,
00000075,0000000582_00000075_1.jpg,0000000582_00000075_2.jpg,2026-06-15 14:54:57,製品Cの導入を検討,3か月以内,確認・比較はしている,重要視している,重要視している,重要視している,確認・比較はしている,非常に重要視している,デモ・テスト導入,
00000076,0000000582_00000076_1.jpg,0000000582_00000076_2.jpg,2026-06-15 15:07:38,製品Cの導入を検討,1年以内,確認・比較はしている,重要視している,重要視している,非常に重要視している,重要視している,あまり重要としていない,お見積り、デモ・テスト導入,導入事例をもう少し詳しく知りたいです。特に同業種の事例があれば。
00000077,0000000582_00000077_1.jpg,0000000582_00000077_2.jpg,2026-06-15 15:14:20,製品Aの導入を検討、製品Bの導入を検討、情報収集,検討中だが時期未定,重要視している,重要視している,非常に重要視している,重要視している,重要視している,重要視している,営業担当からの説明・ご提案,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000078,0000000582_00000078_1.jpg,0000000582_00000078_2.jpg,2026-06-15 15:19:09,製品Aの導入を検討,3か月以内,非常に重要視している,確認・比較はしている,あまり重要としていない,確認・比較はしている,重要視している,重要視している,デモ・テスト導入,予算取りの参考にしたいので概算見積りをお願いします。
00000079,0000000582_00000079_1.jpg,,2026-06-15 15:20:23,製品Aの導入を検討、製品Bの導入を検討,3か月以内,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,デモ・テスト導入,
00000080,0000000582_00000080_1.jpg,0000000582_00000080_2.jpg,2026-06-15 15:27:54,製品Aの導入を検討、情報収集,検討中だが時期未定,重要視している,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,あまり重要としていない,営業担当からの説明・ご提案,
00000081,0000000582_00000081_1.jpg,0000000582_00000081_2.jpg,2026-06-15 15:29:26,製品Aの導入を検討,検討中だが時期未定,非常に重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,重要視している,お見積り,他社製品と比較検討中です。優位性が分かる資料が欲しいです。
00000082,0000000582_00000082_1.jpg,0000000582_00000082_2.jpg,2026-06-15 15:40:35,製品Cの導入を検討,1年以内,確認・比較はしている,重要視している,重要視している,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000083,0000000582_00000083_1.jpg,0000000582_00000083_2.jpg,2026-06-15 15:46:40,製品Cの導入を検討、情報収集,1年以内,重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案、デモ・テスト導入,トライアル導入の条件を確認したいです。
00000084,0000000582_00000084_1.jpg,,2026-06-15 15:47:44,製品Bの導入を検討、製品Cの導入を検討,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,重要視している,非常に重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000085,0000000582_00000085_1.jpg,0000000582_00000085_2.jpg,2026-06-15 15:49:29,製品Aの導入を検討、製品Cの導入を検討、情報収集,3か月以内,あまり重要としていない,重要視している,非常に重要視している,あまり重要としていない,あまり重要としていない,重要視している,営業担当からの説明・ご提案,
00000086,0000000582_00000086_1.jpg,0000000582_00000086_2.jpg,2026-06-15 16:03:17,製品Cの導入を検討、情報収集,1年以内,非常に重要視している,重要視している,確認・比較はしている,あまり重要としていない,非常に重要視している,確認・比較はしている,案内を希望しない,トライアル導入の条件を確認したいです。
00000087,0000000582_00000087_1.jpg,,2026-06-15 16:03:46,製品Cの導入を検討、その他,検討中だが時期未定,非常に重要視している,あまり重要としていない,あまり重要としていない,非常に重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,保守対応の範囲と費用感を教えてください。
00000088,0000000582_00000088_1.jpg,,2026-06-15 16:07:40,製品Cの導入を検討,3か月以内,非常に重要視している,あまり重要としていない,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案、デモ・テスト導入,
00000089,0000000582_00000089_1.jpg,0000000582_00000089_2.jpg,2026-06-15 16:12:41,製品Aの導入を検討、製品Bの導入を検討,3か月以内,非常に重要視している,非常に重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,お見積り,
00000090,0000000582_00000090_1.jpg,0000000582_00000090_2.jpg,2026-06-15 16:13:12,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,確認・比較はしている,確認・比較はしている,確認・比較はしている,重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,セミナーの開催予定があれば案内をお願いします。
00000091,0000000582_00000091_1.jpg,0000000582_00000091_2.jpg,2026-06-15 16:28:43,製品Cの導入を検討,検討中だが時期未定,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案,
00000092,0000000582_00000092_1.jpg,,2026-06-15 16:29:35,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,確認・比較はしている,重要視している,あまり重要としていない,非常に重要視している,お見積り、デモ・テスト導入,セミナーの開催予定があれば案内をお願いします。
00000093,0000000582_00000093_1.jpg,0000000582_00000093_2.jpg,2026-06-15 16:30:42,製品Bの導入を検討,直ぐにでも,重要視している,非常に重要視している,重要視している,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000094,0000000582_00000094_1.jpg,0000000582_00000094_2.jpg,2026-06-15 16:34:16,製品Aの導入を検討、情報収集,1年以内,重要視している,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,案内を希望しない,導入事例をもう少し詳しく知りたいです。特に同業種の事例があれば。
00000095,0000000582_00000095_1.jpg,0000000582_00000095_2.jpg,2026-06-15 16:38:01,製品Bの導入を検討、製品Cの導入を検討,1年以内,確認・比較はしている,確認・比較はしている,あまり重要としていない,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,海外拠点への展開実績はありますか。
00000096,0000000582_00000096_1.jpg,,2026-06-15 16:45:33,製品Bの導入を検討,検討中だが時期未定,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,あまり重要としていない,確認・比較はしている,営業担当からの説明・ご提案,
00000097,0000000582_00000097_1.jpg,0000000582_00000097_2.jpg,2026-06-15 16:50:57,製品Bの導入を検討,3か月以内,非常に重要視している,重要視している,重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000098,0000000582_00000098_1.jpg,,2026-06-15 16:53:04,製品Bの導入を検討,3か月以内,非常に重要視している,重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
